month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2025-03,Hawaii,1241,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,1268
2025-03,Idaho,6926,181,5766,5222,485,386,0,5,3,0,292,259,1,85,13,1,0,0,5,2,1,1,2,0,19636
2025-03,Illinois,14987,227499,28972,12133,1381,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,284978
2025-03,Indiana,451,25193,22941,12792,1691,1255,0,1,0,0,824,313,21,113,6,0,0,0,38,25,5,1,1,0,65671
2025-03,Iowa,3765,5787,3913,3608,221,164,5,0,0,0,35,28,1,109,18,1,0,0,3,1,0,0,0,0,17659
2025-03,Kansas,1879,3,7069,5444,520,450,0,0,0,0,469,208,5,115,19,2,0,0,33,46,0,0,2,0,16264
2025-03,Kentucky,802,282669,11675,8777,637,843,3,4,5,0,1333,787,3,28,4,1,0,0,8,18,1,1,0,0,307599
2025-03,Louisiana,543,0,12843,6563,736,614,1,1,1,1,879,485,10,1,0,0,0,0,17,5,1,1,0,0,22702
2025-03,Maine,735,9,4004,3340,322,260,2,3,0,0,45,34,1,31,7,2,0,0,8,0,1,0,0,0,8804
2025-03,Mariana Islands,0,0,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2025-03,Maryland,13343,6887,9681,6411,117,7,0,0,1,0,122,72,4,141,24,9,0,0,0,49,1,0,1,0,36870
2025-03,Massachusetts,13857,1,6476,2688,637,352,6,0,0,0,7,9,4,1,0,1,0,0,49,28,1,1,0,0,24118
2025-03,Michigan,32405,9532,21278,17269,1636,933,71,0,2,1,61,241,5,523,41,80,0,0,17,6,2,0,0,0,84103
2025-03,Minnesota,13490,46826,11656,11612,978,704,0,1,0,0,124,162,0,117,19,1,0,0,37,71,4,0,1,0,85803
2025-03,Mississippi,1457,0,10029,6547,455,418,0,8,4,0,1313,684,4,24,0,0,0,0,8,3,0,0,0,0,20954
2025-03,Missouri,2068,281,20376,15342,1742,1506,0,4,5,1,1184,634,15,391,35,3,0,0,36,32,5,0,0,1,43661
2025-03,Montana,1478,1,4412,4599,320,377,12,0,0,1,391,402,1,64,11,4,0,0,2,1,0,0,0,0,12076
2025-03,Nebraska,4430,232,196,1779,15,10,2,0,0,0,2,28,1,34,7,0,0,0,0,0,0,0,0,0,6736
2025-03,Nevada,2947,0,6814,2858,362,365,0,2,0,0,341,107,0,6,5,0,0,0,0,0,0,0,18,6,13831
2025-03,New Hampshire,1648,3,7242,2946,502,0,34,0,3,0,1,14,0,121,13,4,0,0,0,0,0,0,0,0,12531
2025-03,New Jersey,0,0,9131,3902,816,0,0,0,0,0,0,0,0,3,0,0,0,0,117,76,9,2,1,1,14058
2025-03,New Mexico,987,0,5977,3561,494,519,0,1,3,0,315,304,2,44,0,0,0,0,51,30,0,0,0,0,12288
2025-03,New York,2954,2533,12320,11092,869,457,0,0,0,0,40,48,3,103,93,1,7,0,577,368,46,9,15,0,31535
2025-03,North Carolina,15382,280,28094,12590,1264,1137,0,15,3,0,2392,894,13,860,122,1,2,1,52,17,4,0,1,1,63125
2025-03,North Dakota,381,11,2109,2719,126,127,0,1,0,0,54,84,0,8,0,0,0,0,1,3,0,0,0,0,5624
